City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Sokoni,TZ,2022-01-24 00:50:40,-6.4333,39.55,80.13,80,100,17.27
282,Saint-Georges,GD,2022-01-24 00:50:41,12.0564,-61.7485,76.68,78,40,9.22
283,Ucluelet,CA,2022-01-24 00:50:30,48.9329,-125.5528,43.09,89,100,2.33
284,Kavaratti,IN,2022-01-24 00:50:41,10.5669,72.642,79.32,67,14,10.25
285,Springbok,ZA,2022-01-24 00:50:42,-29.6643,17.8865,73.94,46,100,5.06
286,Dolores,AR,2022-01-24 00:50:42,-36.3132,-57.6792,69.71,93,97,6.64
287,Emerald,AU,2022-01-24 00:50:43,-23.5333,148.1667,84.34,54,75,8.05
288,Asau,RO,2022-01-24 00:50:43,46.4333,26.4,20.39,90,95,7.49
289,Waipawa,NZ,2022-01-24 00:46:12,-41.4122,175.5153,67.3,85,100,8.86
290,Coihaique,CL,2022-01-24 00:49:03,-45.5752,-72.0662,55.35,58,75,9.22
291,Pundaguitan,PH,2022-01-24 00:50:44,6.3711,126.1689,79.66,82,100,4.14
